id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,clean_tweet,compound,neg,neu,pos,sentiment
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GlblCtzn: .@priyankachopra is calling on leaders to help protect refugees from COVID-19 by providing them with quality health care and…,en,0,31,RJIshak,,"GlblCtzn, priyankachopra",Jakarta Capital Region,call leader help protect refuge covid19 provid qualiti health care,0.8176,0,0.452,0.548,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @OGSG_Official: OGUN STATE SUPPORT FOR CBN-NIRSAL COVID-19 TARGETED CREDIT FACILITY - TCF https://t.co/koWBQECoQq,en,0,61,makinwaoluwole,,OGSG_Official,Nigeria,ogun state support cbn nirsal covid19 target credit facil tcf,0.6486,0,0.602,0.398,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AdvoBarryRoux: These 5 police officials based at Namahadi police station were busy drinking liquor at a certain tavern whilst on duty,…",en,0,1,TembeAmu,,AdvoBarryRoux,,polic offici base namahadi polic station busi drink liquor certain tavern whilst duti,0.2732,0,0.851,0.149,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MobilePunch: COVID-19: Oyo discharges two patients
https://t.co/eQRE00ZiJo",en,0,0,ilyasrabiu,,MobilePunch,"Lagos, Nigeria",covid19 oyo discharg two patient,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",My Condolences to the Family of those who did not survive #Covid_19!,en,0,13869,bucketeconomist,Covid_19,,,condol famili surviv,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DrJMZimmerman: I received this text from my 19 year old son who is working with COVID patients. To those who equate quarantine with com…,en,0,526,rohaniroop,,DrJMZimmerman,"British Columbia, Canada",receiv text year old son work covid19 patient equat quarantin com,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Taiwan's Vice-President Chen Chien-jen on his country's fight with Covid-19  https://t.co/SmdtNFAFZf,en,0,119,agostinhozinga,,,"London, England",taiwan vice presid chen chien jen countri fight covid19,-0.3818,0.245,0.755,0,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @morethanmySLE: BREAKING: A New York woman with #coronavirus symptoms died last week after being prescribed a drug cocktail with known c…,en,0,474,DrJeffreyPOlson,coronavirus,morethanmySLE,JPO Aesthetics,break new york woman symptom die last week prescrib drug cocktail known ,-0.5994,0.262,0.738,0,neg
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Horrible tragedy in Nova Scotia today. How will these families get closure during the pandemic? Will there be funer… https://t.co/okGy9PfPZB,en,0,23,MichelleCarbert,,,"Ottawa, Ontario",horribl tragedi nova scotia today famili get closur pandem funer,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@TahirsyeedK @sagarikaghose Covid-19 can be cured sooner or later,but who will cure the Ghose virus ?",en,0,6,Deshbha21624810,,"TahirsyeedK, sagarikaghose",,covid19 cure sooner later cure ghose viru,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JoeNBC: January 22nd:  “We have it totally under control. It’s one person coming in from China. We have it under control. It’s going to…,en,0,92,dandouglas33,,JoeNBC,,januari nd total control one person come china control go,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BuckSexton: Doctor friend who is delivering babies during this crisis told me very interesting data from 2 large nyc area hospitals:

T…",en,0,19,winniekiiza1,,BuckSexton,"Kampala, Uganda",doctor friend deliv babi crisi told interest data larg nyc area hospit,0.7351,0,0.617,0.383,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @KatiePhang: “‘[COVID-19] can attack almost anything in the body with devastating consequences.  Its ferocity is breathtaking and humbli…,en,0,20173,annmartincwc,,KatiePhang,,covid19 attack almost anyth bodi devast consequ feroc breathtak humbl,-0.4767,0.256,0.744,0,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ClevelandClinic: Prevention is key. Know the simple steps you can take today to protect yourself from #COVID19 https://t.co/BKDX2NsMX2…,en,0,0,IDevilNeck,COVID19,ClevelandClinic,North Coast ,prevent key know simpl step take today protect,0.4019,0,0.619,0.381,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SaharaReporters: BREAKING: Jigawa Records First COVID-19 Case | Sahara Reporters https://t.co/XUkSsnCp77,en,0,40,AtaAbubakar,,SaharaReporters,"Kano, Nigeria.",break jigawa record first covid19 case sahara report,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JoeConchaTV: Wallace to Pelosi on her also downplaying COVID-19: If the president underplayed the threat in the early days, Speaker Pel…",en,0,408,freegalt,,JoeConchaTV,,wallac pelosi also downplay covid19 presid underplay threat earli day speaker pel,-0.5267,0.236,0.764,0,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @OIC_IPHRC: 1/2 #OIC-IPHRC condemns the unrelenting vicious #Islamophobic campaign in #India  maligning Muslims for spread of #COVID-19…,en,0,227,kashif_afzalkpk,"OIC, Islamophobic, India, COVID",OIC_IPHRC,"Dubai, United Arab Emirates",iphrc condemn unrel viciou campaign malign muslim spread,-0.3818,0.271,0.729,0,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Always_a_Yes: Less than 3000 British People were killed on D-Day.
Circa 10 times that number will be dead in the UK from COVID-19 by ne…",en,0,2,thegibosuk,,Always_a_Yes,European space agency. ,le british peopl kill day circa time number dead uk covid19 ne,-0.8658,0.466,0.466,0.067,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@ronnieClarke69 @SkySportsNews Tails between their legs and then opened the stadium up to be used as a covid 19 tes… https://t.co/J9zOGb873q,en,0,1475,DanPawley,,"ronnieClarke69, SkySportsNews",,tail leg open stadium use covid19 te,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @COsweda: The TREATMENT--not the mortality rate--was on track to destroying our medical system.

During any given flu season, about 10 p…",en,0,425,Capt_Art,,COsweda,,treatment mortal rate track destroy medic system given flu season ,-0.7269,0.433,0.567,0,neg
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @victorialwalton: Officers say they cannot speak to motivations at this point. They also say they haven’t made any links to the COVID-19…,en,0,89,ReprtrPatHealey,,victorialwalton,"Enfield, N.S.",offic say speak motiv point also say made link covid19,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @aplusk: Mila and I are launching Quarantine Wine!
100% of the profits will go to Covid-19 relief efforts!
#QuarantineWine #SocialDistan…",en,0,713,_LatinnGirl,QuarantineWine,aplusk,insta: crusin__,mila launch quarantin wine profit go covid19 relief effort,0.7184,0,0.538,0.462,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @keithgerein: COVID-19: Alberta doctors slam province for 'shoddy' masks https://t.co/Wl0BMZzJSE #abhealth #covid19ab,en,0,88,JulieCGD,"abhealth, covid19ab",keithgerein,"Alberta, Canada",covid19 alberta doctor slam provinc shoddi mask,-0.3818,0.302,0.698,0,neg
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@jettaboldt @SkyNews Of course! 😃 I'm still right about the smoking though. Approx. 1% of the people who have been… https://t.co/OHz60pqzet,en,0,19,Picto2010,,"jettaboldt, SkyNews",WhereEverILayMyHat,cours still right smoke though approx peopl,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Aramidee_sl: This is so touching 
Funke Akindele releases statement on the importance of maintaining social distancing in the fight aga…",en,0,7424,Goriolai2,,Aramidee_sl,,touch funk akindel releas statement import maintain social distanc fight aga,-0.3818,0.206,0.794,0,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JoeNBC: The most economically, scientifically, and technologically advanced country on the planet is ranked 38th in tests per person. D…",en,0,7424,alex_ortega18,,JoeNBC,"Cudahy, CA",econom scientif technolog advanc countri planet rank th test per person,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Lrihendry: So let me get this straight

WHO conspires with China to mislead US on COVID-19

Trump threatens to defund WHO for providing…",en,0,13,jtantgra,,Lrihendry,,let get straight conspir china mislead covid19 trump threaten defund provid,-0.1779,0.193,0.667,0.141,neg
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",We all know COVID-19 is a hoax set for the NWO those who are asleep are the sheep who follow ANYTHING the media tel… https://t.co/QBhbICevuV,en,0,3,henry28,,,,know covid19 hoax set nwo asleep sheep follow anyth medium tel,-0.2732,0.174,0.826,0,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JoeBiden: .@DrBiden and I are keeping the loved ones of the more than 40,000 people in the U.S. we've lost due to COVID-19 in our praye…",en,0,46,MelodyPuppyDog,,"JoeBiden, DrBiden",New York,keep love one peopl lost due covid19 pray,0.6369,0.167,0.362,0.471,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","More than 40,000 people in the U.S. have now died of the novel coronavirus, according to a database kept by Johns H… https://t.co/Iyzenvf0sW",en,0,1482,KTNV,,,Las Vegas,peopl die novel coronaviru accord databas kept john ,-0.3818,0.32,0.492,0.189,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @RepLeeZeldin: While @realDonaldTrump believes the enemy is coronavirus, @SpeakerPelosi believes the enemy is Pres Trump. In order to de…",en,0,3043,starrbasket,,"RepLeeZeldin, realDonaldTrump, SpeakerPelosi",,belief enemi coronaviru belief enemi pre trump order de,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""https://onloft.com/tweetlogix"" rel=""nofollow"">Tweetlogix</a>","RT @Leighwebb_MD: Messaging Matters.

@US_FDA: ""Again, there is no evidence of food packaging being associated with the transmission of COV…",en,0,0,DrKLClemons,,"Leighwebb_MD, US_FDA","Charlottesville, VA",messag matter evid food packag associ transmiss cov,0.0258,0,0.864,0.136,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @mitchellvii: Why do I feel like Trump has been luring the Democrats onto a minefield this whole time, keeping guys like Fauci around ju…",en,0,65,jojol43263060,,mitchellvii,,feel like trump lure democrat onto minefield whole time keep guy like fauci around ju,0.6124,0,0.722,0.278,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@ThePubliusUSA Covid 19 will catch up with you,en,0,31,stamp_george,,ThePubliusUSA,JAMAICA ,covid19 catch,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@SizweLo Might also want to check out this banned video on Covid-19 https://t.co/xAlZoNkngQ https://t.co/txn2HGFW07 https://t.co/5n1KHXyrBG,en,0,8,TebogoMotshwene,,SizweLo,Johannesburg,might also want check ban video covid19,-0.5106,0.364,0.505,0.131,neg
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @PatrickStrud: 5/ This is a human rights emergency. Every country, every leader, every international institution must do more than speak…",en,0,221,das_kongpital,,PatrickStrud,Danmark,human right emerg everi countri everi leader everi intern institut must speak,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @RealMikeBradley: HEARTWARMING: Woman being evacuated by helicopter does spins to honor healthcare workers around the globe battling COV…,en,0,0,cafcowner,,RealMikeBradley,,heartwarm woman evacu helicopt spin honor healthcar worker around globe battl cov,0.4939,0,0.775,0.225,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @stevenvmiller: The same people who want to contextualize the large nominal number of COVID-19 deaths, given the U.S. size relative to I…",en,0,1014,scasburn_life,,stevenvmiller,"Portland, OR",peopl want contextu larg nomin number covid19 death given size rel,-0.5106,0.269,0.552,0.179,neg
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @ddiamond: The first serious Covid-19 case in Minnesota was a 38-year-old Ironman athlete who nearly died and still relies on oxygen fiv…,en,0,288,Kat_Missouri,,ddiamond,Last house on the right,first seriou covid19 case minnesota year old ironman athlet nearli die still reli oxygen fiv,-0.5994,0.218,0.782,0,neg
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @Kenyazion: @DavidCornDC A contractor I know ignored warnings of covid-19 He traveled w his family to FLA for his daughters cheer compet…,en,0,10,ginou1010,,"Kenyazion, DavidCornDC","Somewhere, NJ",contractor know ignor warn covid19 travel famili fla daughter cheer compet,0.4404,0.102,0.657,0.241,pos
1.25E+18,19-04-2020,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","Sadly, four more deaths. Here is the latest. https://t.co/yGlDOYXdaE https://t.co/U5zdedGXrE",en,0,1,KAMCNews,,,"Lubbock, Texas",sadli four death latest,-0.5994,0.565,0.435,0,neg
1.25E+18,19-04-2020,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ON NOW: As the US COVID-19 death toll approaches 40,000, David and Will cross to 7 News correspondent @kadakpaul in New York for an update.",en,0,0,FIVEaaBreakfast,,,Adelaide, covid19 death toll approach david cross news correspond new york updat,-0.5994,0.281,0.719,0,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @tejasvenii: Volunteers of  @derasachasauda is working 24/7 to help others in #Covid_19
  Sharing Some Tips To Stay Healthy
Wid D Inspir…",en,0,0,Neeturani123452,Covid_19,"tejasvenii, derasachasauda","Ambala, India",volunt work help other share tip stay healthi wid inspir,0.5994,0,0.62,0.38,pos
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @escapedmatrix: 'There's no pandemic. Media's the cancer' — Trump supporters across the U.S. are protesting stay-at-home orders.

Meanwh…",en,0,3046,QuinbyHancroft,,escapedmatrix,"San Diego California, USA",pandem medium cancer trump support across protest stay home order meanwh,-0.5719,0.374,0.468,0.158,neg
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Scots terrified to go out of their homes- Numerous Elderly Dying in Hospital/Care Homes/Alone - YET thousands pax a… https://t.co/Ip5PxdJIqV,en,0,8,frances_email,,,,scot terrifi go home numer elderli die hospit care home alon yet thousand pax,-0.1779,0.204,0.628,0.168,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Caroline_OF_B: New preprint: Intersecting risk factors - poverty, age, comorbidities, race+ethnicity, health insurance - place some US…",en,0,5,StephenKissler,,Caroline_OF_B,,new preprint intersect risk factor poverti age comorbid race ethnic health insur place ,-0.2732,0.149,0.851,0,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",""" And I bet there won't be one single Arrest....-""Thousands of Israelis brave COVID-19 heath risks to protest again… https://t.co/w61mBabyFH",en,0,0,DCUniversity2,,,,bet one singl arrest thousand isra brave covid19 heath risk protest,-0.2732,0.385,0.414,0.201,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @festusomalia: We note with appreciation the effectiveness of in-country efforts that has been mobilized so far for the nation’s collect…,en,0,3048,AlinurSalad,,festusomalia,"Mogadishu, Somalia",note appreci effect countri effort mobil far nation collect,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@fragoua @_burak111 @unfetteredmind1 @Reuters Turkish Medical association says that Turkish regime hides its real n… https://t.co/mGZZr9J82I,en,0,4,mefisto114,,"fragoua, _burak111, unfetteredmind1, Reuters",Αθήνα,turkish medic associ say turkish regim hide real ,-0.1779,0.195,0.805,0,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@h3h3productions https://t.co/s52KYh0Q6B
Girlfriend hand got forced to quite her job as the care home was asking he… https://t.co/ragZ6cyUil",en,0,14,RealBenMee,,h3h3productions,"East Midlands, England",girlfriend hand got forc quit job care home ask,0.7506,0,0.522,0.478,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @brianklaas: You went to Georgetown &amp; Harvard so I’ll assume you know when you’re deliberately misleading people with numbers.

Covid-19…",en,0,979,HendricksDanny7,,brianklaas,"Minneapolis, MN",went georgetown harvard assum know deliber mislead peopl number covid19,0.0772,0,0.874,0.126,pos
1.25E+18,19-04-2020,"<a href=""http://withinnigeria.news"" rel=""nofollow"">TheTrendsfeed App</a>","COVID-19: There's need for 'urgent' spiritual approach, Prophet Ekong Ituen tells FG https://t.co/xEvDowgwmN",en,0,2176,WithinNigeria,,,Nigeria,covid19 need urgent spiritu approach prophet ekong ituen tell fg,0.2023,0,0.833,0.167,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @newtgingrich: State leaders are trying to slow the spread of COVID-19.  But many of these elected officials are using COVID-19 to put o…,en,0,2176,Nmharley2,,newtgingrich,,state leader tri slow spread covid19 mani elect offici use covid19 put,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Barnes_Law: When the Government tells you it's dangerous to go golf alone, fish alone or be in a motor boat alone, but the Governor can…",en,0,670,tetragram,,Barnes_Law,"Los Angeles, California",govern tell danger go golf alon fish alon motor boat alon governor,-0.5267,0.236,0.764,0,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @patrickgmfox5dc: How does @Harvard get 9 million in Covid-19 Aid?  When small businesses cannot get 50k?   Ridiculous.,en,0,732,Dvconn,,"patrickgmfox5dc, Harvard","Troy, NY",get million covid19 aid small busi get ridicul,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Covid-19 management is country specific. No one solution fits all countries. The only thing all countries should pr… https://t.co/BzMkzB7YIr,en,0,734,sa_budu,,,,covid19 manag countri specif one solut fit countri thing countri pr,0.3612,0,0.8,0.2,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @LeslynLewis: Democracy and accountability can't wait until after COVID-19. I'm glad our Conservative team has not wavered in fighting t…,en,0,769,Deb92941304,,LeslynLewis,,democraci account wait covid19 glad conserv team waver fight,0.1027,0.206,0.556,0.238,pos
1.25E+18,19-04-2020,"<a href=""https://twitterrific.com/ios"" rel=""nofollow"">Twitterrific for iOS</a>",RT @nowthisnews: Robert De Niro and @LeoDiCaprio are offering fans a role in their next film if they donate to this new initiative to suppo…,en,0,0,dahanbn,,"nowthisnews, LeoDiCaprio",Bonn,robert de niro offer fan role next film donat new initi suppo,0.3182,0,0.827,0.173,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @NursingNotesUK: It is with great sadness we announce that yet another member of our nursing family, Michael Allieu, has sadly died from…",en,0,37,EHijacked,,NursingNotesUK,,great sad announc yet anoth member nurs famili michael allieu sadli die,-0.4404,0.348,0.448,0.204,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @RyanAFournier: Democrats want us to get tested for COVID-19,

Then carry papers saying we can go out in public.

But voter ID is racist…",en,0,0,Picklepuss11,,RyanAFournier,"Ohio, USA",democrat want get test covid19 carri paper say go public voter id racist,-0.5719,0.245,0.675,0.08,neg
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @PiyushGoyal: Following PM @NarendraModi ji’s call to ensure adequate supply of perishables during COVID-19 lockdown, Railways has trans…",en,0,8,pirai_2014,,"PiyushGoyal, narendramodi",भारत 🇮🇳,follow pm ji call ensur adequ suppli perish covid19 lockdown railway tran,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @DailySignal: Many on the left now say #COVID19 has proven @SenSanders' #MedicareForAll claims right—because under such a system the gov…,en,0,9021,CJHanselman,"COVID19, MedicareForAll","DailySignal, SenSanders","Florida, USA",mani left say proven claim right system gov,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @KFF: When people lose their jobs due to #COVID19:
- Reduced income may make children eligible for Medicaid; parents too in expansion st…",en,0,1398,Artful_Inquirer,COVID19,KFF,"Pennsylvania, USA",peopl lose job due reduc incom may make child elig medicaid parent eansion st,-0.4019,0.172,0.828,0,neg
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @catturd2: This is absolutely disgusting 👇

""Have You Accidentally Killed Someone Today?"" Oregon PSAs Shame People Into Staying Home Ami…",en,0,1242,Gal2Pc,,catturd2,,absolut disgust accident kill someon today oregon psa shame peopl stay home ami,-0.9413,0.622,0.378,0,neg
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","This phase 1,2,3 things is absurd. Shelter in place only slows down the infections, it does not prevent them nor do… https://t.co/jy8NK8BNLz",en,0,1,TroyBrady2,,,,phase thing absurd shelter place slow infect prevent,0.0258,0,0.864,0.136,pos
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @AWUnion: Share this message to protect your friends and workmates.
The Morrison Government has changed laws to let big business cut pay…",en,0,734,CandyNasir,,AWUnion,Australia ,share messag protect friend workmat morrison govern chang law let big busi cut pay,0.6705,0.171,0.439,0.39,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @_xCinday: We need to find a person who survived corona virus and fully recovered &amp; donate to save my uncles life PLEASE PLEASE🙏🏻🥺❤️!…,en,0,1454,jaeeelizabeth,,_xCinday,,need find person surviv corona viru fulli recov donat save uncl life pleas pleas,0.4939,0,0.802,0.198,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @DoctorNene: Busy with protocols: working with iSpirit and the govt.  Have to complement all the teams in moving forward quickly.  Covid…,en,0,121,Galina_FanMD,,DoctorNene,Russia,busi protocol work ispirit govt complement team move forward quickli covid19,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @mitchellvii: I have a sense this will be #OpenAmerica week as we transition from freaking out over COVID-19 numbers and back to getting…,en,0,0,kimjustice62,OpenAmerica,mitchellvii,"Ohio, USA",sens week transit freak covid19 number back get,-0.3818,0.284,0.588,0.127,neg
1.25E+18,19-04-2020,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",COVID-19: Edo Impose Curfew https://t.co/2GZK93GPFr https://t.co/5MGOhju9Bv,en,0,158,NdokwaReporters,,,Delta State,covid19 edo impos curfew,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GPNewport: @GPNewport A number of vehicles were seen parked outside of Lighthouse Retirement Park. Members of public were spoken to reg…,en,0,29,jitulka,,"GPNewport, GPNewport","Pontypridd, Wales",number vehicl seen park outsid lighthous retir park member public spoken reg,0.0772,0,0.894,0.106,pos
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @NPR: A white supremacist planned to bomb a Missouri hospital treating COVID-19 patients, the FBI says.

The man died in a shootout on M…",en,0,1342,SyntacticalNerd,,NPR,Shadowfall,white supremacist plan bomb missouri hospit treat covid19 patient fbi say man die shootout,-0.5994,0.333,0.469,0.197,neg
1.25E+18,19-04-2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @garyalsmith: 🇬🇭

President of Ghana has lifted the three-week lockdown. We have 1024 cases of COVID-19.

Good call?",en,0,1966,futuristkwabena,,garyalsmith,Global Citizen,presid ghana lift three week lockdown case covid19 good call,0.4404,0,0.756,0.244,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @NBCMontana: More than $3.4 million in federal funding will be made available to law enforcement in Montana to help bolster response to…,en,0,0,HeidiNBCMT,,NBCMontana,"Missoula, MT",million feder fund made avail law enforc montana help bolster respons,0.4019,0,0.787,0.213,pos
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Coronavirus LIVE: Maharashtras biggest jump takes India cases past 17,000 https://t.co/xsh8QYjkve",en,0,10,TarunMi74515970,,,,coronaviru live maharashtra biggest jump take india case past,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @VGKnightinArmor: Confusion, seizure, strokes: How #COVID19 may affect the brain

Beyond fever, cough &amp; shortness of breath, some are de…",en,0,29,PndmcsrvvrsFl,COVID19,VGKnightinArmor,"Florida, USA",confus seizur stroke may affect brain beyond fever cough short breath de,0,0,1,0,neu
1.25E+18,19-04-2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Cheryl8990: @gtconway3d #FrontLineHeroes have sacrificed and put their lives on the line for us everyday. We don't have enough #Testing…,en,0,113,Sue02793868,FrontLineHeroes,"Cheryl8990, gtconway3d",,sacrif put life line everyday enough,0,0,1,0,neu
